"Package","Version"
"abind","1.4-8"
"AhoCorasickTrie","0.1.3"
"annotate","1.80.0"
"AnnotationDbi","1.64.1"
"askpass","1.2.0"
"backports","1.5.0"
"base","4.3.1"
"base64enc","0.1-3"
"beachmat","2.18.0"
"beeswarm","0.4.0"
"BH","1.87.0-1"
"Biobase","2.62.0"
"BiocFileCache","2.10.1"
"BiocGenerics","0.48.1"
"BiocIO","1.12.0"
"BiocManager","1.30.27"
"BiocParallel","1.36.0"
"BiocSingular","1.18.0"
"BiocVersion","3.18.1"
"biomaRt","2.58.0"
"Biostrings","2.70.1"
"bit","4.0.5"
"bit64","4.0.5"
"bitops","1.0-9"
"blob","1.2.4"
"boot","1.3-32"
"bootstrap","2019.6"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.10"
"bslib","0.9.0"
"cachem","1.1.0"
"callr","3.7.6"
"carData","3.0-5"
"caret","7.0-1"
"cellranger","1.1.0"
"class","7.3-23"
"classInt","0.4-11"
"cli","3.6.5"
"clipr","0.8.0"
"clock","0.7.3"
"cluster","2.1.8.1"
"codetools","0.2-20"
"collections","0.3.9"
"colorspace","2.1-2"
"commonmark","2.0.0"
"compiler","4.3.1"
"conflicted","1.2.0"
"corpcor","1.6.10"
"corrplot","0.95"
"cowplot","1.2.0"
"cpp11","0.5.2"
"crayon","1.5.3"
"credentials","2.0.3"
"curl","7.0.0"
"data.table","1.17.8"
"datasets","4.3.1"
"DBI","1.1.3"
"dbplyr","2.3.4"
"DelayedArray","0.28.0"
"Deriv","4.2.0"
"desc","1.4.3"
"devtools","2.4.6"
"diagram","1.6.5"
"diffobj","0.3.6"
"digest","0.6.39"
"doBy","4.7.0"
"doParallel","1.0.17"
"doRNG","1.8.6.2"
"downlit","0.4.5"
"dplyr","1.1.4"
"dtplyr","1.3.1"
"e1071","1.7-16"
"edgeR","4.0.16"
"ellipse","0.5.0"
"ellipsis","0.3.2"
"evaluate","1.0.5"
"exactRankTests","0.8-35"
"fansi","1.0.7"
"farver","2.1.2"
"fastmap","1.2.0"
"filelock","1.0.2"
"fontawesome","0.5.2"
"forcats","1.0.0"
"foreach","1.5.2"
"foreign","0.8-85"
"formatR","1.14"
"Formula","1.2-5"
"fs","1.6.6"
"furrr","0.3.1"
"futile.logger","1.4.3"
"futile.options","1.0.1"
"future","1.68.0"
"future.apply","1.20.0"
"gargle","1.5.2"
"genefilter","1.84.0"
"generics","0.1.4"
"GenomeInfoDb","1.38.1"
"GenomeInfoDbData","1.2.11"
"GenomicAlignments","1.38.2"
"GenomicRanges","1.54.1"
"gert","2.2.0"
"ggbeeswarm","0.7.2"
"ggpattern","1.1.4"
"ggplot2","4.0.1"
"ggrepel","0.9.6"
"ggsci","4.1.0"
"ggsignif","0.6.4"
"ggtext","0.1.2"
"gh","1.5.0"
"gitcreds","0.1.2"
"glmnet","4.1-10"
"globals","0.18.0"
"glue","1.8.0"
"googledrive","2.1.1"
"googlesheets4","1.1.1"
"gower","1.0.2"
"graphics","4.3.1"
"grDevices","4.3.1"
"grid","4.3.1"
"gridExtra","2.3"
"gridpattern","1.3.1"
"gridtext","0.1.5"
"gtable","0.3.6"
"hardhat","1.4.2"
"haven","2.5.3"
"HDInterval","0.2.4"
"highr","0.11"
"hms","1.1.4"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.16"
"httr","1.4.7"
"httr2","1.2.1"
"ids","1.0.1"
"igraph","2.2.1"
"ini","0.3.1"
"ipred","0.9-15"
"iq","2.0.0"
"IRanges","2.36.0"
"irlba","2.3.5.1"
"isoband","0.2.7"
"IsoBayes","1.0.1"
"iterators","1.0.14"
"jpeg","0.1-11"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"KEGGREST","1.42.0"
"KernSmooth","2.23-22"
"km.ci","0.5-6"
"KMsurv","0.1-6"
"knitr","1.50"
"labeling","0.4.3"
"lambda.r","1.2.4"
"later","1.4.4"
"lattice","0.22-7"
"lava","1.8.2"
"lazyeval","0.2.2"
"lifecycle","1.0.4"
"limma","3.58.1"
"lintr","3.2.0"
"listenv","0.10.0"
"litedown","0.8"
"locfit","1.5-9.8"
"lubridate","1.9.4"
"magrittr","2.0.4"
"markdown","2.0"
"MASS","7.3-60"
"Matrix","1.6-1.1"
"MatrixGenerics","1.14.0"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"maxstat","0.7-26"
"memoise","2.0.1"
"methods","4.3.1"
"mgcv","1.9-0"
"microbenchmark","1.5.0"
"mime","0.12"
"miniUI","0.1.2"
"minqa","1.2.8"
"mixOmics","6.24.0"
"ModelMetrics","1.2.2.2"
"modelr","0.1.11"
"munsell","0.5.1"
"mvtnorm","1.3-3"
"nlme","3.1-168"
"nnet","7.3-20"
"numDeriv","2016.8-1.1"
"openssl","2.1.1"
"otel","0.2.0"
"parallel","4.3.1"
"parallelly","1.45.1"
"patchwork","1.3.2"
"pillar","1.11.1"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgdown","2.2.0"
"pkgload","1.4.1"
"plogr","0.2.0"
"plyr","1.8.9"
"png","0.1-8"
"polynom","1.4-1"
"praise","1.0.0"
"prettyunits","1.2.0"
"pROC","1.19.0.1"
"processx","3.8.6"
"prodlim","2025.04.28"
"profvis","0.4.0"
"progress","1.2.3"
"progressr","0.18.0"
"promises","1.5.0"
"proxy","0.4-27"
"ps","1.9.1"
"purrr","1.2.0"
"quantreg","6.1"
"R.cache","0.17.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.13.0"
"R6","2.6.1"
"ragg","1.2.6"
"rappdirs","0.3.3"
"rARPACK","0.11-0"
"rbibutils","2.4"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.1.0"
"RcppArmadillo","15.2.2-1"
"RcppEigen","0.3.4.0.2"
"RCurl","1.98-1.16"
"Rdpack","2.6.4"
"readr","2.1.4"
"readxl","1.4.3"
"recipes","1.3.1"
"reformulas","0.4.2"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"reprex","2.0.2"
"reshape2","1.4.5"
"restfulr","0.0.16"
"rex","1.2.1"
"Rhtslib","2.4.1"
"rjson","0.2.23"
"rlang","1.1.6"
"rmarkdown","2.30"
"rmeta","3.0"
"rngtools","1.5.2"
"roxygen2","7.3.3"
"rpart","4.1.24"
"rprojroot","2.1.1"
"Rsamtools","2.18.0"
"RSpectra","0.16-2"
"RSQLite","2.3.1"
"rstudioapi","0.15.0"
"rsvd","1.0.5"
"rtracklayer","1.62.0"
"rversions","3.0.0"
"rvest","1.0.3"
"s2","1.1.9"
"S4Arrays","1.2.0"
"S4Vectors","0.40.2"
"S7","0.2.1"
"sass","0.4.10"
"ScaledMatrix","1.10.0"
"scales","1.4.0"
"scattermore","1.2"
"selectr","0.4-2"
"sessioninfo","1.2.3"
"sf","1.0-14"
"shape","1.4.6.1"
"shiny","1.11.1"
"snow","0.4-4"
"sourcetools","0.1.7-1"
"SparseArray","1.2.2"
"SparseM","1.84-2"
"sparsevctrs","0.3.4"
"spatial","7.3-17"
"splines","4.3.1"
"SQUAREM","2021.1"
"statmod","1.5.0"
"stats","4.3.1"
"stats4","4.3.1"
"stringi","1.8.7"
"stringr","1.6.0"
"styler","1.11.0"
"SummarizedExperiment","1.32.0"
"SuppDists","1.1-9.9"
"survcomp","1.50.0"
"survival","3.8-3"
"survivalmodels","0.1.191"
"survivalROC","1.0.3.1"
"survMisc","0.5.6"
"sva","3.50.0"
"sys","3.4.2"
"systemfonts","1.0.5"
"tcltk","4.3.1"
"testthat","3.3.1"
"textshaping","0.3.7"
"tibble","3.3.0"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"timechange","0.3.0"
"timeDate","4051.111"
"tinytex","0.48"
"tools","4.3.1"
"tzdb","0.5.0"
"units","0.8-7"
"urlchecker","1.0.1"
"usethis","3.2.1"
"utf8","1.2.6"
"utils","4.3.1"
"uuid","1.1-1"
"vctrs","0.6.5"
"vipor","0.4.5"
"viridisLite","0.4.2"
"vroom","1.6.4"
"waldo","0.6.2"
"whisker","0.4.1"
"withr","3.0.2"
"wk","0.9.4"
"xfun","0.54"
"XML","3.99-0.17"
"xml2","1.5.1"
"xmlparsedata","1.0.5"
"xopen","1.0.1"
"xtable","1.8-4"
"XVector","0.42.0"
"yaml","2.3.11"
"zip","2.3.3"
"zlibbioc","1.48.0"
"zoo","1.8-14"
